Especialidad,Jornada_Horaria,Mes,Semana_Iso,Dia_Sem_Iso,Oferta_programada,Bloqueo,Oferta_disponible,Citas_asignadas,Sobrecupos,Cupos_Vendidos,Ticket_Integral_Especialidad
Categoria_21,Turno_A,3,12,1,12,0,12,12,0,0,466551
Categoria_22,Turno_A,3,13,6,7,1,6,6,0,0,907421
Categoria_56,Turno_B,3,11,4,9,0,9,9,0,0,283109
Categoria_43,Turno_A,3,11,4,8,0,8,1,0,0,129176
Categoria_59,Turno_C,3,11,5,3,0,3,0,0,0,596146
Categoria_04,Turno_B,3,11,2,4,0,4,0,0,0,298998
Categoria_54,Turno_B,2,9,1,19,0,19,19,0,0,130151
Categoria_38,Turno_A,3,13,2,3,0,3,0,0,0,638776
Categoria_50,Turno_B,2,9,4,6,0,6,0,0,0,228126
Categoria_50,Turno_B,3,12,4,6,0,6,0,0,0,228126
Categoria_56,Turno_B,3,10,2,7,7,0,0,0,0,283109
Categoria_43,Turno_B,3,10,2,8,0,8,6,0,0,129176
Categoria_42,Turno_A,3,11,4,24,0,24,24,0,0,934414
Categoria_34,Turno_A,3,11,1,15,0,15,0,0,0,904498
Categoria_Desconocida,Turno_A,3,13,1,23,0,23,0,0,0,298998
Categoria_16,Turno_C,3,10,1,6,0,6,4,0,0,263618
Categoria_Desconocida,Turno_A,3,10,3,23,0,23,3,0,0,298998
Categoria_56,Turno_B,3,13,5,11,0,11,2,0,0,283109
Categoria_15,Turno_B,3,12,4,10,0,10,0,0,0,482525
Categoria_21,Turno_A,2,9,1,12,12,0,0,0,0,466551
Categoria_52,Turno_A,2,9,2,154,13,141,48,0,0,143767
Categoria_52,Turno_B,3,10,1,38,0,38,0,0,0,143767
Categoria_12,Turno_C,2,9,3,8,0,8,6,0,0,848688
Categoria_49,Turno_A,3,12,2,65,0,65,2,0,0,58984
Categoria_35,Turno_B,3,13,5,116,2,114,0,0,0,139312
Categoria_68,Turno_B,3,10,1,79,12,67,10,0,0,995067
Categoria_53,Turno_A,3,13,3,17,0,17,3,0,0,860937
Categoria_44,Turno_A,3,14,1,36,0,36,0,0,0,698519
Categoria_08,Turno_A,3,11,1,66,0,66,63,0,0,310804
Categoria_64,Turno_A,3,11,2,93,39,54,1,0,0,386896
Categoria_46,Turno_A,3,14,2,15,0,15,0,0,0,625270
Categoria_61,Turno_B,3,10,3,67,0,67,9,0,0,144633
Categoria_62,Turno_B,2,9,2,21,0,21,21,0,0,611661
Categoria_48,Turno_B,2,9,5,12,0,12,12,0,0,311648
Categoria_45,Turno_B,3,12,4,8,8,0,0,0,0,211664
